present_order,sentence,rating_1to7
232,Someone saw unfavourable.,
233,Something was which enough.,
234,Something was pumpy enough.,
235,Something was coastal.,
236,Aloft the something happened.,
237,Something was too regarding.,
238,Something seemed john.,
239,Greatly the something happened.,
240,Something was hereiner than something else.,
241,"Comedy something, something happened.",
242,The something that something was thereabouts __,
243,The something that something was rollercoaster __,
244,Something was civil enough.,
245,The specialness of something.,
246,Something happened thencely.,
247,Apart something happened.,
248,Something was very banal.,
249,Something was east doing.,
250,Something was extra enough.,
251,The by something happened.,
252,Something was old-fashioned enough.,
253,Something was twice something.,
254,Something was therewith.,
255,Something was uninvisible.,
256,Flippy the something happened.,
257,The uncoveredness of something.,
258,The something that something was past __,
259,Something was infested enough.,
260,Something was right under.,
261,The something safe happened.,
262,Something seemed double.,
263,The underneath something happened.,
264,Something was unauctioneer.,
265,Something was saving something.,
266,Something was kurdish doing.,
267,The upstairs something happened.,
268,Something was more gorgeous than something else.,
269,Something became mechanistic.,
270,Someone saw ready.,
271,Someone saw whereat.,
272,Something was thereof doing.,
273,Something became genial.,
274,Something was more overland than something else.,
275,Something was hence doing.,
276,Something was hundred doing.,
277,Democratic something happened.,
278,Something was old and we.,
279,Something was very anybody.,
280,Something seemed describes.,
281,Something was too same.,
282,Someone saw correspondent.,
283,The prosperous something happened.,
284,Something seemed infested.,
285,Something was right forth.,
286,Something was too alien.,
287,Something was very between.,
288,Someone saw aboard.,
289,Something was bad enough.,
290,Something was more now than something else.,
291,The something that something was second __,
292,Sedative of the somethings happened.,
293,Something happened anythingly.,
294,Something seemed blair.,
295,Something was overseas doing.,
296,Something became social.,
297,Something was enough genial.,
298,Something was right suggestive.,
299,Something was old and every.,
300,Something happened sincely.,
301,Something became south.,
302,The delightfulness of something.,
303,Something became past.,
304,The guns something happened.,
305,Something was unpertaining.,
306,Something was more democratic than something else.,
307,Something was allowing something.,
308,Something was old and pitched.,
309,Something seemed iconic.,
310,Something was too overhead.,
311,At of the somethings happened.,
312,Something was very which.,
313,Something was very throughout.,
314,Something was right sedative.,
315,Something was fleetinger than something else.,
316,Something was more disused than something else.,
317,"Tribe something, something happened.",
318,Something was right aft.,
319,Thereto the something happened.,
320,Something was old and bright.,
321,"Directorial something, something happened.",
322,Something was upwarder than something else.,
323,Something was too pernickety.,
324,Something happened oldly.,
325,Something became curve.,
326,Something was past doing.,
327,Something was old and banal.,
328,Great something happened.,
329,Like the something happened.,
330,Something was very riddled.,
331,Something was a little something.,
332,Something was bad doing.,
333,Something was successfuller than something else.,
334,Something was old and homeless.,
335,Something was more groggy than something else.,
336,The sternness of something.,
337,Something was riddled something.,
338,Something was very definitely.,
339,Something was very oyster.,
340,Something was overland enough.,
341,"Past something, something happened.",
342,Something was very busy.,
343,"Neolithic something, something happened.",
344,Something became interesting.,
345,Something was life enough.,
346,Something was about doing.,
347,Something was too few.,
348,The something that something was whereon __,
349,The something wrong happened.,
350,Something was onward doing.,
351,Something was old and granted.,
352,Given the something happened.,
353,Something was awayer than something else.,
354,Inefficient of the somethings happened.,
355,Something seemed leftward.,
356,Something became difficult.,
357,Something seemed invisible.,
358,Something was lasted something.,
359,Something was too impressed.,
360,Something was old and anglo-saxon.,
361,"Asleep something, something happened.",
362,Something was uninfested.,
363,Something was old and us.,
364,Something was old and closer.,
365,Something was enough exploring.,
366,Something was enough either.,
367,Something was next doing.,
368,Something happened livesly.,
369,Something became relevant.,
370,Whereat the something happened.,
371,Something became ideal.,
372,Something was right this.,
373,Something was enough riddled.,
374,Something seemed providing.,
375,The something pressured happened.,
376,Something was very commercial.,
377,"Civil something, something happened.",
378,Hundred the something happened.,
379,Something was westward enough.,
380,The old-fashioned something happened.,
381,The one-and-a-halfness of something.,
382,The something pernickety happened.,
383,Less the something happened.,
384,"Protecting something, something happened.",
385,Something was upon doing.,
386,Something became oyster.,
387,Within of the somethings happened.,
388,The many aness of something.,
389,National of the somethings happened.,
390,The sedative something happened.,
391,Grants something happened.,
392,Something was enough febrile.,
393,Something happened flappily.,
394,Something was untough.,
395,Something was last something.,
396,Something was unbarnstable.,
397,Something was right of.,
398,Someone saw democratic.,
399,Something was whatever.,
400,Something became sit.,
401,Something was unchauvinistic.,
402,Something was very open.,
403,Something was too given.,
404,Someone saw fair.,
405,The something that something was eastward __,
406,Something was north.,
407,Something was unoverdue.,
408,"Remain something, something happened.",
409,Someone saw along.,
410,Something was ungilt.,
411,Something was too lovely.,
412,Something was whereaboutser than something else.,
413,Something was very pedestrian.,
414,The southwesterly something happened.,
415,Something was old and where.,
416,Something seemed huge.,
417,Something was pitched doing.,
418,Someone saw westward.,
419,Something was too anything.,
420,Something was ready.,
421,The something that something was thereat __,
422,"A something, something happened.",
423,The protecting something happened.,
424,Something was uncommon something.,
425,Something was everywherer than something else.,
426,Something was old and as.,
427,Something was unclassic.,
428,Something became delirious.,
429,"Worth something, something happened.",
430,Something was inward something.,
431,The themeness of something.,
432,Something seemed otters.,
433,Something happened talkedly.,
434,Something was right through.,
435,Safe something happened.,
436,Something was right breathless.,
437,Something was very ablaze.,
438,Something was right northward.,
439,Something was unafter.,
440,Something became back.,
441,Something was everywhere enough.,
442,Boggy something happened.,
443,Something was you something.,
444,Something became grants.,
445,The something serious happened.,
446,Something happened daringly.,
447,Something was too seventy.,
448,Something seemed civil.,
449,Something was too spinning.,
450,Something was historicer than something else.,
451,The fifa something happened.,
452,Something was more no one than something else.,
453,Something was too onto.,
454,The something comfortable happened.,
455,When the something happened.,
456,Something happened ploppily.,
457,Something was too possible.,
458,The asness of something.,
459,Something was lovely enough.,
460,Something was very providing.,
461,Something became after.,
462,Something was enough efficient.,
463,Something was very regarding.,
464,Someone saw a great many.,
465,The something that something was tribe __,
466,Something was more excluding than something else.,
467,The belowness of something.,
468,Something was right pygmy.,
469,Something happened chooly.,
470,Something was great doing.,
471,Something was old and gone.,
472,Someone saw whereabouts.,
473,The fossilised something happened.,
474,Something was either doing.,
475,Alongside the something happened.,
476,The something after happened.,
477,The something something happened.,
478,"Behind something, something happened.",
479,Something was irish.,
480,Something became at.,
481,Something was old and many a.,
482,Something was very hereat.,
483,Something was old and silly.,
484,Kyle of the somethings happened.,
485,The something describes happened.,
486,Something was more general than something else.,
487,Something was impressed something.,
488,The something opposite happened.,
489,Brilliant of the somethings happened.,
490,Something became otters.,
491,Something happened remainly.,
492,Short of the somethings happened.,
493,Someone saw hayes.,
494,Channel of the somethings happened.,
495,Something was more spastic than something else.,
496,Something was old and indoors.,
497,Something was greater than something else.,
498,Someone saw beautiful.,
499,Feeble the something happened.,
500,"Cornish something, something happened.",
501,Nonsensical of the somethings happened.,
502,Endoscopy something happened.,
503,Something was untypical something.,
504,Something was unoff.,
505,Something was either enough.,
506,Something was frederick something.,
507,Something was too thereof.,
508,The something that something was seaward __,
509,The something fleeting happened.,
510,Something happened unfavourably.,
511,Something happened blankly.,
512,"Pernickety something, something happened.",
513,Something was improvisationaller than something else.,
514,Something was very inefficient.,
515,Something happened downwardly.,
516,The herewithness of something.,
517,The backhandedness of something.,
518,Something was safe something.,
519,Something was there something.,
520,The something reported happened.,
521,The aniness of something.,
522,What something happened.,
523,Something was somer than something else.,
524,Something was more beyond than something else.,
525,Something happened ally.,
526,Something was seditious something.,
527,None something happened.,
528,Something was right savvy.,
529,Something was right inside.,
530,The national something happened.,
531,Something was too crippling.,
532,Thereabouts the something happened.,
533,The something that something was along __,
534,Something was very thereto.,
535,The something mechanistic happened.,
536,Something was lasted doing.,
537,The nationalness of something.,
538,"Downstairs something, something happened.",
539,Something was unfour-and-a-half.,
540,The thereat something happened.,
541,Something was where doing.,
542,Something was unexpected doing.,
543,Something was unfun.,
544,Something was very none.,
545,Something became upstairs.,
546,Stinging the something happened.,
547,Something was more crippling than something else.,
548,Something was bright something.,
549,Something happened leanly.,
550,Something was breathless doing.,
551,Something was very according.,
552,Something was too everything.,
553,Something seemed historic.,
554,Something was more thrilling than something else.,
555,The somewhereness of something.,
556,Something was such enough.,
557,Something was enough failing.,
558,Something was right bravest.,
559,Something was here.,
560,"Upon something, something happened.",
561,Something was old and with.,
562,The something that something was regimented __,
563,Something was few.,
564,Something was very proper.,
565,Rollercoaster the something happened.,
566,Eastward something happened.,
567,Something was stuck enough.,
568,Something was more czechoslovakian than something else.,
569,Something was fleeting something.,
570,Something happened undefeatedly.,
571,Something was aboard.,
572,Something was very behind.,
573,Respecting the something happened.,
574,The old-fashionedness of something.,
575,Someone saw nice.,
576,Someone saw ashore.,
577,Something was more aground than something else.,
578,Something was high enough.,
579,Something became great.,
580,Someone saw stuck.,
581,Something was uncommon enough.,
582,Herefrom the something happened.,
583,The hilarious something happened.,
584,Something happened everywherely.,
585,Something was more tough than something else.,
586,Something was acclaimed.,
587,Something was very where.,
588,Abroad something happened.,
589,Someone saw no.,
590,Something was uncoastal.,
591,Something was that enough.,
592,Something was enough thereof.,
593,The something leftward happened.,
594,Someone saw interesting.,
595,The something old-fashioned happened.,
596,Something was too a little.,
597,Whereof the something happened.,
598,Something was very suggestive.,
599,Late the something happened.,
600,Something was convincinger than something else.,
