lexeme,stratum,det_flag,diagnostic,op,sentence,flag,needs_realization
like,boundary,,determiner_function,both,Like something happened.,,
like,boundary,,fused_head,both,Someone saw like.,,
like,boundary,,partitive_of,both,Like of the somethings happened.,,
like,boundary,,un_prefix,both,Something was unlike.,orthographic_un,
like,boundary,,ly_adverb_base,both,Something happened like+ly.,,morphology+ly
like,boundary,,ness_nominalization,both,The like+ness of something.,,morphology+ness
like,boundary,,seem_complement,both,Something seemed like.,,
like,boundary,,become_complement,both,Something became like.,,
like,boundary,,coordination_with_adj,judgment,Something was old and like.,,
like,boundary,,fronting_pp,judgment,"Like something, something happened.",,
like,boundary,,stranding,judgment,The something that something was like __,,
due,boundary,,very_mod,both,Something was very due.,,
due,boundary,,too_mod,both,Something was too due.,,
due,boundary,,comparative_more,both,Something was more due than something else.,,
due,boundary,,inflectional_comparison,both,Something was due+er than something else.,,morphology+er
due,boundary,,right_mod,judgment,Something was right due.,,
due,boundary,,enough_postposed,judgment,Something was due enough.,,
due,boundary,,enough_preposed,judgment,Something was enough due.,,
due,boundary,,np_complement,both,Something was due something.,,
due,boundary,,gerund_gap_complement,judgment,Something was due doing.,,
due,boundary,,attributive,both,The due something happened.,,
due,boundary,,predicative_be,both,Something was due.,,
due,boundary,,postpositive,judgment,The something due happened.,note_postpositive,
due,boundary,,predeterminer_position,both,Due the something happened.,,
due,boundary,,determiner_function,both,Due something happened.,,
due,boundary,,fused_head,both,Someone saw due.,,
due,boundary,,partitive_of,both,Due of the somethings happened.,,
due,boundary,,un_prefix,both,Something was undue.,orthographic_un,
due,boundary,,ly_adverb_base,both,Something happened due+ly.,,morphology+ly
due,boundary,,ness_nominalization,both,The due+ness of something.,,morphology+ness
due,boundary,,seem_complement,both,Something seemed due.,,
due,boundary,,become_complement,both,Something became due.,,
due,boundary,,coordination_with_adj,judgment,Something was old and due.,,
due,boundary,,fronting_pp,judgment,"Due something, something happened.",,
due,boundary,,stranding,judgment,The something that something was due __,,
fun,boundary,,very_mod,both,Something was very fun.,,
fun,boundary,,too_mod,both,Something was too fun.,,
fun,boundary,,comparative_more,both,Something was more fun than something else.,,
fun,boundary,,inflectional_comparison,both,Something was fun+er than something else.,,morphology+er
fun,boundary,,right_mod,judgment,Something was right fun.,,
fun,boundary,,enough_postposed,judgment,Something was fun enough.,,
fun,boundary,,enough_preposed,judgment,Something was enough fun.,,
fun,boundary,,np_complement,both,Something was fun something.,,
fun,boundary,,gerund_gap_complement,judgment,Something was fun doing.,,
fun,boundary,,attributive,both,The fun something happened.,,
fun,boundary,,predicative_be,both,Something was fun.,,
fun,boundary,,postpositive,judgment,The something fun happened.,note_postpositive,
fun,boundary,,predeterminer_position,both,Fun the something happened.,,
fun,boundary,,determiner_function,both,Fun something happened.,,
fun,boundary,,fused_head,both,Someone saw fun.,,
fun,boundary,,partitive_of,both,Fun of the somethings happened.,,
fun,boundary,,un_prefix,both,Something was unfun.,orthographic_un,
fun,boundary,,ly_adverb_base,both,Something happened fun+ly.,,morphology+ly
fun,boundary,,ness_nominalization,both,The fun+ness of something.,,morphology+ness
fun,boundary,,seem_complement,both,Something seemed fun.,,
fun,boundary,,become_complement,both,Something became fun.,,
fun,boundary,,coordination_with_adj,judgment,Something was old and fun.,,
fun,boundary,,fronting_pp,judgment,"Fun something, something happened.",,
fun,boundary,,stranding,judgment,The something that something was fun __,,
galore,boundary,,very_mod,both,Something was very galore.,,
galore,boundary,,too_mod,both,Something was too galore.,,
galore,boundary,,comparative_more,both,Something was more galore than something else.,,
galore,boundary,,inflectional_comparison,both,Something was galore+er than something else.,,morphology+er
galore,boundary,,right_mod,judgment,Something was right galore.,,
galore,boundary,,enough_postposed,judgment,Something was galore enough.,,
galore,boundary,,enough_preposed,judgment,Something was enough galore.,,
galore,boundary,,np_complement,both,Something was galore something.,,
galore,boundary,,gerund_gap_complement,judgment,Something was galore doing.,,
galore,boundary,,attributive,both,The galore something happened.,,
galore,boundary,,predicative_be,both,Something was galore.,,
galore,boundary,,postpositive,judgment,The something galore happened.,note_postpositive,
galore,boundary,,predeterminer_position,both,Galore the something happened.,,
galore,boundary,,determiner_function,both,Galore something happened.,,
galore,boundary,,fused_head,both,Someone saw galore.,,
galore,boundary,,partitive_of,both,Galore of the somethings happened.,,
galore,boundary,,un_prefix,both,Something was ungalore.,orthographic_un,
galore,boundary,,ly_adverb_base,both,Something happened galore+ly.,,morphology+ly
galore,boundary,,ness_nominalization,both,The galore+ness of something.,,morphology+ness
galore,boundary,,seem_complement,both,Something seemed galore.,,
galore,boundary,,become_complement,both,Something became galore.,,
galore,boundary,,coordination_with_adj,judgment,Something was old and galore.,,
galore,boundary,,fronting_pp,judgment,"Galore something, something happened.",,
galore,boundary,,stranding,judgment,The something that something was galore __,,
ablaze,boundary,,very_mod,both,Something was very ablaze.,,
ablaze,boundary,,too_mod,both,Something was too ablaze.,,
ablaze,boundary,,comparative_more,both,Something was more ablaze than something else.,,
ablaze,boundary,,inflectional_comparison,both,Something was ablaze+er than something else.,,morphology+er
ablaze,boundary,,right_mod,judgment,Something was right ablaze.,,
ablaze,boundary,,enough_postposed,judgment,Something was ablaze enough.,,
ablaze,boundary,,enough_preposed,judgment,Something was enough ablaze.,,
ablaze,boundary,,np_complement,both,Something was ablaze something.,,
ablaze,boundary,,gerund_gap_complement,judgment,Something was ablaze doing.,,
ablaze,boundary,,attributive,both,The ablaze something happened.,,
ablaze,boundary,,predicative_be,both,Something was ablaze.,,
ablaze,boundary,,postpositive,judgment,The something ablaze happened.,note_postpositive,
ablaze,boundary,,predeterminer_position,both,Ablaze the something happened.,,
ablaze,boundary,,determiner_function,both,Ablaze something happened.,,
ablaze,boundary,,fused_head,both,Someone saw ablaze.,,
ablaze,boundary,,partitive_of,both,Ablaze of the somethings happened.,,
ablaze,boundary,,un_prefix,both,Something was unablaze.,orthographic_un,
ablaze,boundary,,ly_adverb_base,both,Something happened ablaze+ly.,,morphology+ly
ablaze,boundary,,ness_nominalization,both,The ablaze+ness of something.,,morphology+ness
ablaze,boundary,,seem_complement,both,Something seemed ablaze.,,
ablaze,boundary,,become_complement,both,Something became ablaze.,,
ablaze,boundary,,coordination_with_adj,judgment,Something was old and ablaze.,,
ablaze,boundary,,fronting_pp,judgment,"Ablaze something, something happened.",,
ablaze,boundary,,stranding,judgment,The something that something was ablaze __,,
asleep,boundary,,very_mod,both,Something was very asleep.,,
asleep,boundary,,too_mod,both,Something was too asleep.,,
asleep,boundary,,comparative_more,both,Something was more asleep than something else.,,
asleep,boundary,,inflectional_comparison,both,Something was asleep+er than something else.,,morphology+er
asleep,boundary,,right_mod,judgment,Something was right asleep.,,
asleep,boundary,,enough_postposed,judgment,Something was asleep enough.,,
asleep,boundary,,enough_preposed,judgment,Something was enough asleep.,,
asleep,boundary,,np_complement,both,Something was asleep something.,,
asleep,boundary,,gerund_gap_complement,judgment,Something was asleep doing.,,
asleep,boundary,,attributive,both,The asleep something happened.,,
asleep,boundary,,predicative_be,both,Something was asleep.,,
asleep,boundary,,postpositive,judgment,The something asleep happened.,note_postpositive,
asleep,boundary,,predeterminer_position,both,Asleep the something happened.,,
asleep,boundary,,determiner_function,both,Asleep something happened.,,
asleep,boundary,,fused_head,both,Someone saw asleep.,,
asleep,boundary,,partitive_of,both,Asleep of the somethings happened.,,
asleep,boundary,,un_prefix,both,Something was unasleep.,orthographic_un,
asleep,boundary,,ly_adverb_base,both,Something happened asleep+ly.,,morphology+ly
asleep,boundary,,ness_nominalization,both,The asleep+ness of something.,,morphology+ness
asleep,boundary,,seem_complement,both,Something seemed asleep.,,
asleep,boundary,,become_complement,both,Something became asleep.,,
asleep,boundary,,coordination_with_adj,judgment,Something was old and asleep.,,
asleep,boundary,,fronting_pp,judgment,"Asleep something, something happened.",,
asleep,boundary,,stranding,judgment,The something that something was asleep __,,
afraid,boundary,,very_mod,both,Something was very afraid.,,
afraid,boundary,,too_mod,both,Something was too afraid.,,
afraid,boundary,,comparative_more,both,Something was more afraid than something else.,,
afraid,boundary,,inflectional_comparison,both,Something was afraid+er than something else.,,morphology+er
afraid,boundary,,right_mod,judgment,Something was right afraid.,,
afraid,boundary,,enough_postposed,judgment,Something was afraid enough.,,
afraid,boundary,,enough_preposed,judgment,Something was enough afraid.,,
afraid,boundary,,np_complement,both,Something was afraid something.,,
afraid,boundary,,gerund_gap_complement,judgment,Something was afraid doing.,,
afraid,boundary,,attributive,both,The afraid something happened.,,
afraid,boundary,,predicative_be,both,Something was afraid.,,
afraid,boundary,,postpositive,judgment,The something afraid happened.,note_postpositive,
afraid,boundary,,predeterminer_position,both,Afraid the something happened.,,
afraid,boundary,,determiner_function,both,Afraid something happened.,,
afraid,boundary,,fused_head,both,Someone saw afraid.,,
afraid,boundary,,partitive_of,both,Afraid of the somethings happened.,,
afraid,boundary,,un_prefix,both,Something was unafraid.,orthographic_un,
afraid,boundary,,ly_adverb_base,both,Something happened afraid+ly.,,morphology+ly
afraid,boundary,,ness_nominalization,both,The afraid+ness of something.,,morphology+ness
afraid,boundary,,seem_complement,both,Something seemed afraid.,,
afraid,boundary,,become_complement,both,Something became afraid.,,
afraid,boundary,,coordination_with_adj,judgment,Something was old and afraid.,,
afraid,boundary,,fronting_pp,judgment,"Afraid something, something happened.",,
afraid,boundary,,stranding,judgment,The something that something was afraid __,,
more,boundary,,very_mod,both,Something was very more.,,
more,boundary,,too_mod,both,Something was too more.,,
more,boundary,,comparative_more,both,Something was more more than something else.,,
more,boundary,,inflectional_comparison,both,Something was more+er than something else.,,morphology+er
more,boundary,,right_mod,judgment,Something was right more.,,
more,boundary,,enough_postposed,judgment,Something was more enough.,,
more,boundary,,enough_preposed,judgment,Something was enough more.,,
more,boundary,,np_complement,both,Something was more something.,,
more,boundary,,gerund_gap_complement,judgment,Something was more doing.,,
more,boundary,,attributive,both,The more something happened.,,
more,boundary,,predicative_be,both,Something was more.,,
more,boundary,,postpositive,judgment,The something more happened.,note_postpositive,
more,boundary,,predeterminer_position,both,More the something happened.,,
more,boundary,,determiner_function,both,More something happened.,,
more,boundary,,fused_head,both,Someone saw more.,,
more,boundary,,partitive_of,both,More of the somethings happened.,,
more,boundary,,un_prefix,both,Something was unmore.,orthographic_un,
more,boundary,,ly_adverb_base,both,Something happened more+ly.,,morphology+ly
more,boundary,,ness_nominalization,both,The more+ness of something.,,morphology+ness
more,boundary,,seem_complement,both,Something seemed more.,,
more,boundary,,become_complement,both,Something became more.,,
more,boundary,,coordination_with_adj,judgment,Something was old and more.,,
more,boundary,,fronting_pp,judgment,"More something, something happened.",,
more,boundary,,stranding,judgment,The something that something was more __,,
less,boundary,,very_mod,both,Something was very less.,,
less,boundary,,too_mod,both,Something was too less.,,
less,boundary,,comparative_more,both,Something was more less than something else.,,
less,boundary,,inflectional_comparison,both,Something was less+er than something else.,,morphology+er
less,boundary,,right_mod,judgment,Something was right less.,,
less,boundary,,enough_postposed,judgment,Something was less enough.,,
less,boundary,,enough_preposed,judgment,Something was enough less.,,
less,boundary,,np_complement,both,Something was less something.,,
less,boundary,,gerund_gap_complement,judgment,Something was less doing.,,
less,boundary,,attributive,both,The less something happened.,,
less,boundary,,predicative_be,both,Something was less.,,
less,boundary,,postpositive,judgment,The something less happened.,note_postpositive,
less,boundary,,predeterminer_position,both,Less the something happened.,,
less,boundary,,determiner_function,both,Less something happened.,,
less,boundary,,fused_head,both,Someone saw less.,,
less,boundary,,partitive_of,both,Less of the somethings happened.,,
less,boundary,,un_prefix,both,Something was unless.,orthographic_un,
less,boundary,,ly_adverb_base,both,Something happened less+ly.,,morphology+ly
less,boundary,,ness_nominalization,both,The less+ness of something.,,morphology+ness
less,boundary,,seem_complement,both,Something seemed less.,,
less,boundary,,become_complement,both,Something became less.,,
less,boundary,,coordination_with_adj,judgment,Something was old and less.,,
less,boundary,,fronting_pp,judgment,"Less something, something happened.",,
less,boundary,,stranding,judgment,The something that something was less __,,
enough,boundary,,very_mod,both,Something was very enough.,,
enough,boundary,,too_mod,both,Something was too enough.,,
enough,boundary,,comparative_more,both,Something was more enough than something else.,,
enough,boundary,,inflectional_comparison,both,Something was enough+er than something else.,,morphology+er
enough,boundary,,right_mod,judgment,Something was right enough.,,
enough,boundary,,enough_postposed,judgment,Something was enough enough.,collision_enough,
enough,boundary,,enough_preposed,judgment,Something was enough enough.,collision_enough,
enough,boundary,,np_complement,both,Something was enough something.,,
enough,boundary,,gerund_gap_complement,judgment,Something was enough doing.,,
enough,boundary,,attributive,both,The enough something happened.,,
enough,boundary,,predicative_be,both,Something was enough.,,
enough,boundary,,postpositive,judgment,The something enough happened.,note_postpositive,
enough,boundary,,predeterminer_position,both,Enough the something happened.,,
enough,boundary,,determiner_function,both,Enough something happened.,,
enough,boundary,,fused_head,both,Someone saw enough.,,
enough,boundary,,partitive_of,both,Enough of the somethings happened.,,
enough,boundary,,un_prefix,both,Something was unenough.,orthographic_un,
enough,boundary,,ly_adverb_base,both,Something happened enough+ly.,,morphology+ly
enough,boundary,,ness_nominalization,both,The enough+ness of something.,,morphology+ness
enough,boundary,,seem_complement,both,Something seemed enough.,,
enough,boundary,,become_complement,both,Something became enough.,,
enough,boundary,,coordination_with_adj,judgment,Something was old and enough.,,
enough,boundary,,fronting_pp,judgment,"Enough something, something happened.",,
enough,boundary,,stranding,judgment,The something that something was enough __,,
such,boundary,,very_mod,both,Something was very such.,,
such,boundary,,too_mod,both,Something was too such.,,
such,boundary,,comparative_more,both,Something was more such than something else.,,
such,boundary,,inflectional_comparison,both,Something was such+er than something else.,,morphology+er
such,boundary,,right_mod,judgment,Something was right such.,,
such,boundary,,enough_postposed,judgment,Something was such enough.,,
such,boundary,,enough_preposed,judgment,Something was enough such.,,
such,boundary,,np_complement,both,Something was such something.,,
such,boundary,,gerund_gap_complement,judgment,Something was such doing.,,
such,boundary,,attributive,both,The such something happened.,,
such,boundary,,predicative_be,both,Something was such.,,
such,boundary,,postpositive,judgment,The something such happened.,note_postpositive,
such,boundary,,predeterminer_position,both,Such the something happened.,,
such,boundary,,determiner_function,both,Such something happened.,,
such,boundary,,fused_head,both,Someone saw such.,,
such,boundary,,partitive_of,both,Such of the somethings happened.,,
such,boundary,,un_prefix,both,Something was unsuch.,orthographic_un,
such,boundary,,ly_adverb_base,both,Something happened such+ly.,,morphology+ly
such,boundary,,ness_nominalization,both,The such+ness of something.,,morphology+ness
such,boundary,,seem_complement,both,Something seemed such.,,
such,boundary,,become_complement,both,Something became such.,,
such,boundary,,coordination_with_adj,judgment,Something was old and such.,,
such,boundary,,fronting_pp,judgment,"Such something, something happened.",,
such,boundary,,stranding,judgment,The something that something was such __,,
own,boundary,,very_mod,both,Something was very own.,,
own,boundary,,too_mod,both,Something was too own.,,
own,boundary,,comparative_more,both,Something was more own than something else.,,
own,boundary,,inflectional_comparison,both,Something was own+er than something else.,,morphology+er
own,boundary,,right_mod,judgment,Something was right own.,,
own,boundary,,enough_postposed,judgment,Something was own enough.,,
own,boundary,,enough_preposed,judgment,Something was enough own.,,
own,boundary,,np_complement,both,Something was own something.,,
own,boundary,,gerund_gap_complement,judgment,Something was own doing.,,
own,boundary,,attributive,both,The own something happened.,,
own,boundary,,predicative_be,both,Something was own.,,
own,boundary,,postpositive,judgment,The something own happened.,note_postpositive,
own,boundary,,predeterminer_position,both,Own the something happened.,,
own,boundary,,determiner_function,both,Own something happened.,,
own,boundary,,fused_head,both,Someone saw own.,,
own,boundary,,partitive_of,both,Own of the somethings happened.,,
own,boundary,,un_prefix,both,Something was unown.,orthographic_un,
own,boundary,,ly_adverb_base,both,Something happened own+ly.,,morphology+ly
own,boundary,,ness_nominalization,both,The own+ness of something.,,morphology+ness
own,boundary,,seem_complement,both,Something seemed own.,,
own,boundary,,become_complement,both,Something became own.,,
own,boundary,,coordination_with_adj,judgment,Something was old and own.,,
own,boundary,,fronting_pp,judgment,"Own something, something happened.",,
own,boundary,,stranding,judgment,The something that something was own __,,
ago,boundary,,very_mod,both,Something was very ago.,,
ago,boundary,,too_mod,both,Something was too ago.,,
ago,boundary,,comparative_more,both,Something was more ago than something else.,,
ago,boundary,,inflectional_comparison,both,Something was ago+er than something else.,,morphology+er
ago,boundary,,right_mod,judgment,Something was right ago.,,
ago,boundary,,enough_postposed,judgment,Something was ago enough.,,
ago,boundary,,enough_preposed,judgment,Something was enough ago.,,
ago,boundary,,np_complement,both,Something was ago something.,,
ago,boundary,,gerund_gap_complement,judgment,Something was ago doing.,,
ago,boundary,,attributive,both,The ago something happened.,,
ago,boundary,,predicative_be,both,Something was ago.,,
ago,boundary,,postpositive,judgment,The something ago happened.,note_postpositive,
ago,boundary,,predeterminer_position,both,Ago the something happened.,,
ago,boundary,,determiner_function,both,Ago something happened.,,
ago,boundary,,fused_head,both,Someone saw ago.,,
ago,boundary,,partitive_of,both,Ago of the somethings happened.,,
ago,boundary,,un_prefix,both,Something was unago.,orthographic_un,
ago,boundary,,ly_adverb_base,both,Something happened ago+ly.,,morphology+ly
ago,boundary,,ness_nominalization,both,The ago+ness of something.,,morphology+ness
ago,boundary,,seem_complement,both,Something seemed ago.,,
ago,boundary,,become_complement,both,Something became ago.,,
ago,boundary,,coordination_with_adj,judgment,Something was old and ago.,,
ago,boundary,,fronting_pp,judgment,"Ago something, something happened.",,
ago,boundary,,stranding,judgment,The something that something was ago __,,
else,boundary,,very_mod,both,Something was very else.,,
else,boundary,,too_mod,both,Something was too else.,,
else,boundary,,comparative_more,both,Something was more else than something else.,,
else,boundary,,inflectional_comparison,both,Something was else+er than something else.,,morphology+er
else,boundary,,right_mod,judgment,Something was right else.,,
else,boundary,,enough_postposed,judgment,Something was else enough.,,
else,boundary,,enough_preposed,judgment,Something was enough else.,,
else,boundary,,np_complement,both,Something was else something.,,
else,boundary,,gerund_gap_complement,judgment,Something was else doing.,,
else,boundary,,attributive,both,The else something happened.,,
else,boundary,,predicative_be,both,Something was else.,,
else,boundary,,postpositive,judgment,The something else happened.,note_postpositive,
else,boundary,,predeterminer_position,both,Else the something happened.,,
else,boundary,,determiner_function,both,Else something happened.,,
else,boundary,,fused_head,both,Someone saw else.,,
else,boundary,,partitive_of,both,Else of the somethings happened.,,
else,boundary,,un_prefix,both,Something was unelse.,orthographic_un,
else,boundary,,ly_adverb_base,both,Something happened else+ly.,,morphology+ly
else,boundary,,ness_nominalization,both,The else+ness of something.,,morphology+ness
else,boundary,,seem_complement,both,Something seemed else.,,
else,boundary,,become_complement,both,Something became else.,,
else,boundary,,coordination_with_adj,judgment,Something was old and else.,,
else,boundary,,fronting_pp,judgment,"Else something, something happened.",,
else,boundary,,stranding,judgment,The something that something was else __,,
a,determinative,core2021,very_mod,both,Something was very a.,,
a,determinative,core2021,too_mod,both,Something was too a.,,
a,determinative,core2021,comparative_more,both,Something was more a than something else.,,
a,determinative,core2021,inflectional_comparison,both,Something was a+er than something else.,,morphology+er
a,determinative,core2021,right_mod,judgment,Something was right a.,,
a,determinative,core2021,enough_postposed,judgment,Something was a enough.,,
a,determinative,core2021,enough_preposed,judgment,Something was enough a.,,
a,determinative,core2021,np_complement,both,Something was a something.,,
a,determinative,core2021,gerund_gap_complement,judgment,Something was a doing.,,
a,determinative,core2021,attributive,both,The a something happened.,,
a,determinative,core2021,predicative_be,both,Something was a.,,
a,determinative,core2021,postpositive,judgment,The something a happened.,note_postpositive,
a,determinative,core2021,predeterminer_position,both,A the something happened.,,
a,determinative,core2021,determiner_function,both,A something happened.,,
a,determinative,core2021,fused_head,both,Someone saw a.,,
a,determinative,core2021,partitive_of,both,A of the somethings happened.,,
a,determinative,core2021,un_prefix,both,Something was una.,orthographic_un,
a,determinative,core2021,ly_adverb_base,both,Something happened a+ly.,,morphology+ly
a,determinative,core2021,ness_nominalization,both,The a+ness of something.,,morphology+ness
a,determinative,core2021,seem_complement,both,Something seemed a.,,
a,determinative,core2021,become_complement,both,Something became a.,,
a,determinative,core2021,coordination_with_adj,judgment,Something was old and a.,,
a,determinative,core2021,fronting_pp,judgment,"A something, something happened.",,
a,determinative,core2021,stranding,judgment,The something that something was a __,,
a certain,determinative,core2021,very_mod,both,Something was very a certain.,,
a certain,determinative,core2021,too_mod,both,Something was too a certain.,,
a certain,determinative,core2021,comparative_more,both,Something was more a certain than something else.,,
a certain,determinative,core2021,inflectional_comparison,both,Something was a certain+er than something else.,,morphology+er
a certain,determinative,core2021,right_mod,judgment,Something was right a certain.,,
a certain,determinative,core2021,enough_postposed,judgment,Something was a certain enough.,,
a certain,determinative,core2021,enough_preposed,judgment,Something was enough a certain.,,
a certain,determinative,core2021,np_complement,both,Something was a certain something.,,
a certain,determinative,core2021,gerund_gap_complement,judgment,Something was a certain doing.,,
a certain,determinative,core2021,attributive,both,The a certain something happened.,,
a certain,determinative,core2021,predicative_be,both,Something was a certain.,,
a certain,determinative,core2021,postpositive,judgment,The something a certain happened.,note_postpositive,
a certain,determinative,core2021,predeterminer_position,both,A certain the something happened.,,
a certain,determinative,core2021,determiner_function,both,A certain something happened.,,
a certain,determinative,core2021,fused_head,both,Someone saw a certain.,,
a certain,determinative,core2021,partitive_of,both,A certain of the somethings happened.,,
a certain,determinative,core2021,un_prefix,both,Something was una certain.,orthographic_un,
a certain,determinative,core2021,ly_adverb_base,both,Something happened a certain+ly.,,morphology+ly
a certain,determinative,core2021,ness_nominalization,both,The a certain+ness of something.,,morphology+ness
a certain,determinative,core2021,seem_complement,both,Something seemed a certain.,,
a certain,determinative,core2021,become_complement,both,Something became a certain.,,
a certain,determinative,core2021,coordination_with_adj,judgment,Something was old and a certain.,,
a certain,determinative,core2021,fronting_pp,judgment,"A certain something, something happened.",,
a certain,determinative,core2021,stranding,judgment,The something that something was a certain __,,
a few,determinative,core2021,very_mod,both,Something was very a few.,,
a few,determinative,core2021,too_mod,both,Something was too a few.,,
a few,determinative,core2021,comparative_more,both,Something was more a few than something else.,,
a few,determinative,core2021,inflectional_comparison,both,Something was a few+er than something else.,,morphology+er
a few,determinative,core2021,right_mod,judgment,Something was right a few.,,
a few,determinative,core2021,enough_postposed,judgment,Something was a few enough.,,
a few,determinative,core2021,enough_preposed,judgment,Something was enough a few.,,
a few,determinative,core2021,np_complement,both,Something was a few something.,,
a few,determinative,core2021,gerund_gap_complement,judgment,Something was a few doing.,,
a few,determinative,core2021,attributive,both,The a few something happened.,,
a few,determinative,core2021,predicative_be,both,Something was a few.,,
a few,determinative,core2021,postpositive,judgment,The something a few happened.,note_postpositive,
a few,determinative,core2021,predeterminer_position,both,A few the something happened.,,
a few,determinative,core2021,determiner_function,both,A few something happened.,,
a few,determinative,core2021,fused_head,both,Someone saw a few.,,
a few,determinative,core2021,partitive_of,both,A few of the somethings happened.,,
a few,determinative,core2021,un_prefix,both,Something was una few.,orthographic_un,
a few,determinative,core2021,ly_adverb_base,both,Something happened a few+ly.,,morphology+ly
a few,determinative,core2021,ness_nominalization,both,The a few+ness of something.,,morphology+ness
a few,determinative,core2021,seem_complement,both,Something seemed a few.,,
a few,determinative,core2021,become_complement,both,Something became a few.,,
a few,determinative,core2021,coordination_with_adj,judgment,Something was old and a few.,,
a few,determinative,core2021,fronting_pp,judgment,"A few something, something happened.",,
a few,determinative,core2021,stranding,judgment,The something that something was a few __,,
a great many,determinative,core2021,very_mod,both,Something was very a great many.,,
a great many,determinative,core2021,too_mod,both,Something was too a great many.,,
a great many,determinative,core2021,comparative_more,both,Something was more a great many than something else.,,
a great many,determinative,core2021,inflectional_comparison,both,Something was a great many+er than something else.,,morphology+er
a great many,determinative,core2021,right_mod,judgment,Something was right a great many.,,
a great many,determinative,core2021,enough_postposed,judgment,Something was a great many enough.,,
a great many,determinative,core2021,enough_preposed,judgment,Something was enough a great many.,,
a great many,determinative,core2021,np_complement,both,Something was a great many something.,,
a great many,determinative,core2021,gerund_gap_complement,judgment,Something was a great many doing.,,
a great many,determinative,core2021,attributive,both,The a great many something happened.,,
a great many,determinative,core2021,predicative_be,both,Something was a great many.,,
a great many,determinative,core2021,postpositive,judgment,The something a great many happened.,note_postpositive,
a great many,determinative,core2021,predeterminer_position,both,A great many the something happened.,,
a great many,determinative,core2021,determiner_function,both,A great many something happened.,,
a great many,determinative,core2021,fused_head,both,Someone saw a great many.,,
a great many,determinative,core2021,partitive_of,both,A great many of the somethings happened.,,
